Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
GEC 1,Understanding the Self,"14:30-16:00
14:30-16:00",MT,"LEC-001 (Non-lab)
LEC-001 (Non-lab)",3,0,3,3,3.0,TBA,IT-1B
GEC 2,Readings in Philippine History,"09:30-11:00
09:30-11:00",TF,"LEC-009 (Non-lab)
LEC-009 (Non-lab)",3,0,3,3,3.0,TBA,IT-1B
GEC 3,Mathematics in the Modern World,"14:30-16:00
14:30-16:00",WTH,"LEC-005 (Non-lab)
LEC-005 (Non-lab)",3,0,3,3,3.0,TBA,IT-1B
IT 100,Introduction to Computing,11:00-14:00,M,LEC-006 (Non-lab),2,1,3,5,4.25,TBA,IT-1B
IT 100,Introduction to Computing,"09:30-11:00
09:30-11:00",WTH,"LAB-001 (Lab)
LAB-001 (Lab)",2,1,3,5,4.25,TBA,IT-1B
IT 101,Computer Programming 1,15:00-17:00,F,LEC-004 (Non-lab),2,1,3,5,4.25,TBA,IT-1B
IT 101,Computer Programming 1,"08:00-09:30
08:00-09:30",TTH,"LAB-004 (Lab)
LAB-004 (Lab)",2,1,3,5,4.25,TBA,IT-1B
PathFit 1,Movement of Competency Training,11:00-14:00,T,LEC-009 (Non-lab),2,0,2,2,2.0,TBA,IT-1B
