Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor
GEC 1,Understanding the Self,"11:00-13:30
15:30-17:00",TTH,"NB-301
OB-L1",3,0,3,3,3.0,TBA
GEC 2,Readings in Philippine History,"09:30-11:00
14:00-15:30",TTH,"OB-L2
OB-L1",3,0,3,3,3.0,TBA
GEC 3,Mathematics in the Modern World,"13:30-15:00
10:00-11:30",TTH,"NB-301
NB-302",3,0,3,3,3.0,TBA
IT 100,Introduction to Computing,"08:00-09:00
09:00-10:00",TTH,"NB-201
NB-203",2,1,3,5,4.25,TBA
IT 100,Introduction to Computing,"10:30-12:00
14:00-15:30",MW,"NB-103
NB-102",2,1,3,5,4.25,TBA
IT 101,Computer Programming 1,"15:00-16:00
11:30-13:30",TTH,"NB-102
NB-203",2,1,3,5,4.25,TBA
IT 101,Computer Programming 1,"15:30-17:00
11:30-14:00",MW,"NB-101
NB-202",2,1,3,5,4.25,TBA
NSTP 1,CWTS/LTS/ROTC 1,"14:00-15:30
10:00-11:30",MW,"AB-201
NB-301",3,0,3,3,3.0,TBA
PathFit 1,Movement of Competency Training,"16:00-17:00
08:00-09:00",TTH,"NB-303
AB-201",2,0,2,2,2.0,TBA
