Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor
GEC 1,Understanding the Self,"08:00-09:30
09:00-10:30",TTH,"NB-301
NB-201",3,0,3,3,3.0,TBA
GEC 2,Readings in Philippine History,"13:00-14:30
15:30-17:00",TTH,"EB-L1
LIB-CL",3,0,3,3,3.0,TBA
GEC 3,Mathematics in the Modern World,"13:30-15:00
13:30-15:00",MW,"NB-302
NB-301",3,0,3,3,3.0,TBA
IT 100,Introduction to Computing,"09:30-10:30
08:00-09:00",TTH,"NB-202
NB-202",2,1,3,5,4.25,TBA
IT 100,Introduction to Computing,"09:00-10:30
08:00-09:30",MW,"NB-103
NB-202",2,1,3,5,4.25,TBA
IT 101,Computer Programming 1,"16:00-17:00
13:00-14:00",TTH,"NB-201
NB-102",2,1,3,5,4.25,TBA
IT 101,Computer Programming 1,"15:30-17:00
15:30-17:00",MW,"NB-201
NB-103",2,1,3,5,4.25,TBA
NSTP 1,CWTS/LTS/ROTC 1,"14:30-16:00
10:30-12:00",TTH,"NB-303
EB-L1",3,0,3,3,3.0,TBA
PathFit 1,Movement of Competency Training,"10:30-11:30
14:00-15:00",TTH,"AB-201
NB-202",2,0,2,2,2.0,TBA
