Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor
GE Elec 2,Etika,"13:00-14:30
09:00-10:30",TTH,"NB-302
AB-102",3,0,3,3,3.0,TBA
GE Elec 3,The Entrepreneurial Mind,"11:00-13:30
14:00-15:30",MW,"NB-303
OB-L3",3,0,3,3,3.0,TBA
GEC 6,"Science, Technology and Society","15:30-17:00
11:30-14:00",MW,"AB-102
NB-303",3,0,3,3,3.0,TBA
IT 105,Applications Development and Emerging Technologies,"08:00-09:00
15:00-16:00",TTH,"NB-203
NB-203",2,1,3,5,4.25,TBA
IT 105,Applications Development and Emerging Technologies,"14:00-15:30
08:00-09:30",MW,"NB-202
NB-203",2,1,3,5,4.25,TBA
IT 106,Information Management,"14:30-16:00
13:30-15:00",TTH,"NB-103
NB-302",3,0,3,3,3.0,TBA
IT 107,Introduction to Human Computer Interaction,"16:00-17:00
10:30-11:30",TTH,"NB-203
NB-103",2,1,3,5,4.25,TBA
IT 107,Introduction to Human Computer Interaction,"09:30-11:00
15:30-17:00",MW,"NB-102
NB-201",2,1,3,5,4.25,TBA
IT 108,Operating Systems,"11:00-12:00
08:00-09:00",TTH,"NB-101
NB-102",2,1,3,5,4.25,TBA
IT 108,Operating Systems,"08:00-09:30
09:30-11:00",MW,"NB-202
NB-103",2,1,3,5,4.25,TBA
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities","09:30-10:30
16:00-17:00",TTH,"AB-101
EB-L1",2,0,2,2,2.0,TBA
