Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IT-3A,IT 114,IT 114_LEC_IT-3A,Monday,14:00,15:00,LEC-002,TBA
IT-3A,IT 114,IT 114_LEC_IT-3A,Friday,09:00,10:00,LAB-002,TBA
IT-3A,IT 114,IT 114_LAB_IT-3A,Thursday,14:00,17:00,LAB-009,TBA
IT-3A,IT 115,IT 115_LEC_IT-3A,Wednesday,15:00,16:00,LEC-003,TBA
IT-3A,IT 115,IT 115_LEC_IT-3A,Thursday,08:00,09:00,LAB-001,TBA
IT-3A,IT 115,IT 115_LAB_IT-3A,Tuesday,10:00,14:00,LAB-009,TBA
IT-3A,IT 116,IT 116_LEC_IT-3A,Wednesday,11:00,12:00,LAB-002,TBA
IT-3A,IT 116,IT 116_LEC_IT-3A,Friday,08:00,09:00,LAB-001,TBA
IT-3A,IT 116,IT 116_LAB_IT-3A,Wednesday,08:00,11:00,LAB-007,TBA
IT-3A,IT 117,IT 117_LEC_IT-3A,Friday,16:00,17:00,LAB-005,TBA
IT-3A,IT 117,IT 117_LEC_IT-3A,Tuesday,14:00,15:00,LAB-007,TBA
IT-3A,IT 117,IT 117_LAB_IT-3A,Friday,10:30,14:30,LAB-004,TBA
IT-3A,IT 118,IT 118_LEC_IT-3A,Monday,13:00,14:00,LEC-006,TBA
IT-3A,IT 118,IT 118_LEC_IT-3A,Friday,14:30,15:30,LAB-005,TBA
IT-3A,IT 118,IT 118_LEC_IT-3A,Thursday,11:00,12:00,LAB-006,TBA
IT-3A,IT 119,IT 119_LEC_IT-3A,Thursday,10:00,11:00,LAB-010,TBA
IT-3A,IT 119,IT 119_LEC_IT-3A,Tuesday,09:00,10:00,LAB-009,TBA
IT-3A,IT 119,IT 119_LEC_IT-3A,Tuesday,08:00,09:00,LEC-005,TBA
IT-3A,GEC 9,GEC 9_LEC_IT-3A,Monday,15:00,16:00,LEC-008,TBA
IT-3A,GEC 9,GEC 9_LEC_IT-3A,Tuesday,15:00,16:00,LAB-004,TBA
IT-3A,GEC 9,GEC 9_LEC_IT-3A,Wednesday,13:30,14:30,LEC-004,TBA
