Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor
GEC 9,Ang Buhay at mga Akda ni Rizal,"08:00-09:30
08:00-09:30",TTH,"LEC-003 (Non-lab)
LEC-003 (Non-lab)",3,0,3,3,3.0,TBA
IT 114,Quantitative Methods (Modeling and Simulation),11:00-14:00,M,LEC-007 (Non-lab),2,1,3,5,4.25,TBA
IT 114,Quantitative Methods (Modeling and Simulation),"09:30-11:00
09:30-11:00",TF,"LAB-003 (Lab)
LAB-003 (Lab)",2,1,3,5,4.25,TBA
IT 115,Networking 1,10:00-12:00,W,LEC-003 (Non-lab),2,1,3,5,4.25,TBA
IT 115,Networking 1,"13:00-14:30
13:00-14:30",WF,"LAB-001 (Lab)
LAB-001 (Lab)",2,1,3,5,4.25,TBA
IT 116,Systems Analysis and Design,10:00-12:00,TH,LEC-001 (Non-lab),2,1,3,5,4.25,TBA
IT 116,Systems Analysis and Design,"08:00-09:30
08:00-09:30",WF,"LAB-004 (Lab)
LAB-004 (Lab)",2,1,3,5,4.25,TBA
IT 117,Systems Administration and Maintenance,09:00-11:00,M,LEC-010 (Non-lab),2,1,3,5,4.25,TBA
IT 117,Systems Administration and Maintenance,"14:30-16:00
14:30-16:00",MF,"LAB-001 (Lab)
LAB-001 (Lab)",2,1,3,5,4.25,TBA
IT 118,Internet of Things,"13:00-14:30
13:00-14:30",TTH,"LEC-003 (Non-lab)
LEC-003 (Non-lab)",3,0,3,3,3.0,TBA
IT 119,Data Scalability and Analytics,"14:30-16:00
14:30-16:00",TTH,"LEC-010 (Non-lab)
LEC-010 (Non-lab)",3,0,3,3,3.0,TBA
