Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor
GEC 9,Ang Buhay at mga Akda ni Rizal,"08:00-09:30
08:00-09:30",MF,"LEC-005 (Non-lab)
LEC-005 (Non-lab)",3,0,3,3,3.0,TBA
IT 114,Quantitative Methods (Modeling and Simulation),08:00-10:00,W,LEC-003 (Non-lab),2,1,3,5,4.25,TBA
IT 114,Quantitative Methods (Modeling and Simulation),"09:30-11:00
09:30-11:00",THF,"LAB-001 (Lab)
LAB-001 (Lab)",2,1,3,5,4.25,TBA
IT 115,Networking 1,15:00-17:00,W,LEC-011 (Non-lab),2,1,3,5,4.25,TBA
IT 115,Networking 1,"14:30-16:00
14:30-16:00",TTH,"LAB-003 (Lab)
LAB-003 (Lab)",2,1,3,5,4.25,TBA
IT 116,Systems Analysis and Design,11:00-14:00,TH,LEC-007 (Non-lab),2,1,3,5,4.25,TBA
IT 116,Systems Analysis and Design,"14:30-16:00
14:30-16:00",MF,"LAB-004 (Lab)
LAB-004 (Lab)",2,1,3,5,4.25,TBA
IT 117,Systems Administration and Maintenance,10:00-12:00,W,LEC-002 (Non-lab),2,1,3,5,4.25,TBA
IT 117,Systems Administration and Maintenance,"13:00-14:30
13:00-14:30",TF,"LAB-005 (Lab)
LAB-005 (Lab)",2,1,3,5,4.25,TBA
IT 118,Internet of Things,"09:30-11:00
09:30-11:00",MT,"LEC-007 (Non-lab)
LEC-007 (Non-lab)",3,0,3,3,3.0,TBA
IT 119,Data Scalability and Analytics,"13:00-14:30
13:00-14:30",MW,"LEC-005 (Non-lab)
LEC-005 (Non-lab)",3,0,3,3,3.0,TBA
