Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor
GEC 1,Understanding the Self,"13:00-14:30
13:00-14:30",THF,"LEC-005 (Non-lab)
LEC-005 (Non-lab)",3,0,3,3,3.0,TBA
GEC 2,Readings in Philippine History,"14:30-16:00
14:30-16:00",WF,"LEC-010 (Non-lab)
LEC-010 (Non-lab)",3,0,3,3,3.0,TBA
GEC 3,Mathematics in the Modern World,"08:00-09:30
08:00-09:30",TF,"LEC-004 (Non-lab)
LEC-004 (Non-lab)",3,0,3,3,3.0,TBA
IT 100,Introduction to Computing,15:00-17:00,TH,LEC-011 (Non-lab),2,1,3,5,4.25,TBA
IT 100,Introduction to Computing,"13:00-14:30
13:00-14:30",TW,"LAB-004 (Lab)
LAB-004 (Lab)",2,1,3,5,4.25,TBA
IT 101,Computer Programming 1,10:00-12:00,F,LEC-002 (Non-lab),2,1,3,5,4.25,TBA
IT 101,Computer Programming 1,"09:30-11:00
09:30-11:00",MW,"LAB-002 (Lab)
LAB-002 (Lab)",2,1,3,5,4.25,TBA
PathFit 1,Movement of Competency Training,09:00-11:00,TH,LEC-005 (Non-lab),2,0,2,2,2.0,TBA
