Program-Year-Block,Course,Component,Day,Start,End,Room,Instructor
IT-2A,IT 105,IT 105_LAB_IT-2A,Tuesday,11:00,15:00,LAB-001,TBA
IT-2B,IT 105,IT 105_LEC_IT-2B,Friday,11:30,13:30,LEC-002,TBA
IT-2B,IT 105,IT 105_LEC_IT-2B,Monday,13:00,14:00,LAB-005,TBA
IT-2B,IT 105,IT 105_LAB_IT-2B,Thursday,13:30,16:30,LAB-001,TBA
IT-2C,IT 105,IT 105_LEC_IT-2C,Tuesday,10:00,11:00,LEC-001,TBA
IT-2C,IT 105,IT 105_LEC_IT-2C,Thursday,14:00,15:00,LEC-002,TBA
IT-2C,IT 105,IT 105_LAB_IT-2C,Friday,09:00,12:00,LAB-001,TBA
IT-2A,IT 106,IT 106_LEC_IT-2A,Tuesday,15:00,16:00,LEC-003,TBA
IT-2A,IT 106,IT 106_LEC_IT-2A,Monday,14:00,15:00,LAB-001,TBA
IT-2A,IT 106,IT 106_LEC_IT-2A,Monday,08:00,09:00,LEC-008,TBA
IT-2B,IT 106,IT 106_LEC_IT-2B,Tuesday,16:00,17:00,LEC-011,TBA
IT-2B,IT 106,IT 106_LEC_IT-2B,Wednesday,09:00,10:00,LEC-009,TBA
IT-2B,IT 106,IT 106_LEC_IT-2B,Friday,15:00,16:00,LEC-002,TBA
IT-2C,IT 106,IT 106_LEC_IT-2C,Thursday,16:00,17:00,LEC-001,TBA
IT-2C,IT 106,IT 106_LEC_IT-2C,Tuesday,13:00,14:00,LEC-004,TBA
IT-2C,IT 106,IT 106_LEC_IT-2C,Wednesday,11:00,12:00,LEC-011,TBA
IT-2A,IT 107,IT 107_LEC_IT-2A,Tuesday,10:00,11:00,LEC-003,TBA
IT-2A,IT 107,IT 107_LEC_IT-2A,Thursday,13:00,14:00,LEC-003,TBA
IT-2A,IT 107,IT 107_LAB_IT-2A,Thursday,09:00,12:00,LAB-001,TBA
IT-2B,IT 107,IT 107_LEC_IT-2B,Monday,15:00,16:00,LAB-001,TBA
IT-2B,IT 107,IT 107_LEC_IT-2B,Monday,09:00,10:00,LEC-011,TBA
IT-2B,IT 107,IT 107_LAB_IT-2B,Wednesday,13:30,16:30,LAB-006,TBA
IT-2C,IT 107,IT 107_LEC_IT-2C,Thursday,10:00,11:00,LEC-004,TBA
IT-2C,IT 107,IT 107_LEC_IT-2C,Friday,14:00,15:00,LAB-001,TBA
IT-2C,IT 107,IT 107_LAB_IT-2C,Monday,14:00,17:00,LAB-003,TBA
IT-2A,IT 108,IT 108_LEC_IT-2A,Monday,13:00,14:00,LAB-003,TBA
IT-2A,IT 108,IT 108_LEC_IT-2A,Tuesday,16:00,17:00,LEC-010,TBA
IT-2A,IT 108,IT 108_LAB_IT-2A,Wednesday,10:00,14:00,LAB-001,TBA
IT-2B,IT 108,IT 108_LEC_IT-2B,Monday,10:00,11:00,LEC-005,TBA
IT-2B,IT 108,IT 108_LEC_IT-2B,Thursday,09:30,10:30,LEC-007,TBA
IT-2B,IT 108,IT 108_LAB_IT-2B,Tuesday,11:00,15:00,LAB-003,TBA
IT-2C,IT 108,IT 108_LEC_IT-2C,Monday,10:00,11:00,LEC-006,TBA
IT-2C,IT 108,IT 108_LEC_IT-2C,Tuesday,09:00,10:00,LEC-006,TBA
IT-2C,IT 108,IT 108_LAB_IT-2C,Wednesday,14:00,17:00,LAB-001,TBA
IT-2A,GEC 6,GEC 6_LEC_IT-2A,Monday,09:00,10:00,LEC-009,TBA
IT-2A,GEC 6,GEC 6_LEC_IT-2A,Friday,08:00,09:00,LEC-004,TBA
IT-2A,GEC 6,GEC 6_LEC_IT-2A,Tuesday,08:00,09:00,LEC-003,TBA
IT-2B,GEC 6,GEC 6_LEC_IT-2B,Thursday,08:30,09:30,LEC-008,TBA
IT-2B,GEC 6,GEC 6_LEC_IT-2B,Friday,09:30,10:30,LEC-005,TBA
