Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 107,Introduction to Human Computer Interaction,08:00-09:30,TTh,AB-101 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
IT 107 (Lab),Introduction to Human Computer Interaction (Lab),13:00-14:30,TTh,NB-203 (Lab),0,1,1,3,2.25,TBA,IT-2B
IT 108,Operating Systems,13:00-14:30,TTh,AB-201 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
IT 108 (Lab),Operating Systems (Lab),09:30-11:00,TTh,NB-203 (Lab),0,1,1,3,2.25,TBA,IT-2B
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",08:00-10:00,W,OB-L1 (Non-lab),2,0,2,2,2.0,TBA,IT-2B
GE Elec 2,Etika,13:00-14:30,TTh,EB-L1 (Non-lab),3,0,3,3,3.0,TBA,IT-2C
GE Elec 3,The Entrepreneurial Mind,08:00-09:30,TTh,NB-302 (Non-lab),3,0,3,3,3.0,TBA,IT-2C
GEC 6,"Science, Technology and Society",09:30-11:00,TTh,NB-302 (Non-lab),3,0,3,3,3.0,TBA,IT-2C
IT 105,Applications Development and Emerging Technologies,16:00-17:00,TTh,AB-201 (Non-lab),2,1,3,5,4.25,TBA,IT-2C
IT 105 (Lab),Applications Development and Emerging Technologies (Lab),11:00-12:00,MWF,NB-102 (Lab),0,1,1,3,2.25,TBA,IT-2C
IT 106,Information Management,08:00-09:30,TTh,NB-303 (Non-lab),3,0,3,3,3.0,TBA,IT-2C
IT 107,Introduction to Human Computer Interaction,13:00-14:30,TTh,LIB-CL (Non-lab),2,1,3,5,4.25,TBA,IT-2C
IT 107 (Lab),Introduction to Human Computer Interaction (Lab),14:30-16:00,TTh,NB-102 (Lab),0,1,1,3,2.25,TBA,IT-2C
IT 108,Operating Systems,14:30-16:00,TTh,EB-L1 (Non-lab),2,1,3,5,4.25,TBA,IT-2C
IT 108 (Lab),Operating Systems (Lab),09:30-11:00,TTh,NB-103 (Lab),0,1,1,3,2.25,TBA,IT-2C
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",09:00-11:00,M,AB-201 (Non-lab),2,0,2,2,2.0,TBA,IT-2C
GEC 9,Ang Buhay at mga Akda ni Rizal,08:00-09:30,TTh,OB-L2 (Non-lab),3,0,3,3,3.0,TBA,IT-3A
IT 114,Quantitative Methods (Modeling and Simulation),09:30-11:00,TTh,LIB-CL (Non-lab),2,1,3,5,4.25,TBA,IT-3A
IT 114 (Lab),Quantitative Methods (Modeling and Simulation) (Lab),13:00-14:30,TTh,NB-203 (Lab),0,1,1,3,2.25,TBA,IT-3A
IT 115,Networking 1,16:00-17:00,TTh,OB-L2 (Non-lab),2,1,3,5,4.25,TBA,IT-3A
IT 115 (Lab),Networking 1 (Lab),14:30-16:00,TTh,NB-103 (Lab),0,1,1,3,2.25,TBA,IT-3A
IT 116,Systems Analysis and Design,16:00-17:00,TTh,AB-101 (Non-lab),2,1,3,5,4.25,TBA,IT-3A
IT 116 (Lab),Systems Analysis and Design (Lab),13:00-14:30,TTh,NB-202 (Lab),0,1,1,3,2.25,TBA,IT-3A
IT 117,Systems Administration and Maintenance,11:00-12:00,TTh,NB-303 (Non-lab),2,1,3,5,4.25,TBA,IT-3A
IT 117 (Lab),Systems Administration and Maintenance (Lab),08:00-09:30,TTh,NB-203 (Lab),0,1,1,3,2.25,TBA,IT-3A
IT 118,Internet of Things,09:30-11:00,TTh,OB-L3 (Non-lab),3,0,3,3,3.0,TBA,IT-3A
IT 119,Data Scalability and Analytics,14:30-16:00,TTh,OB-L3 (Non-lab),3,0,3,3,3.0,TBA,IT-3A
GEC 9,Ang Buhay at mga Akda ni Rizal,13:00-14:30,TTh,LIB-CL (Non-lab),3,0,3,3,3.0,TBA,IT-3B
IT 114,Quantitative Methods (Modeling and Simulation),09:30-11:00,TTh,LIB-CL (Non-lab),2,1,3,5,4.25,TBA,IT-3B
IT 114 (Lab),Quantitative Methods (Modeling and Simulation) (Lab),09:30-11:00,TTh,NB-202 (Lab),0,1,1,3,2.25,TBA,IT-3B
IT 115,Networking 1,11:00-12:00,TTh,OB-L1 (Non-lab),2,1,3,5,4.25,TBA,IT-3B
IT 115 (Lab),Networking 1 (Lab),08:00-09:30,TTh,NB-101 (Lab),0,1,1,3,2.25,TBA,IT-3B
IT 116,Systems Analysis and Design,16:00-17:00,TTh,NB-301 (Non-lab),2,1,3,5,4.25,TBA,IT-3B
IT 116 (Lab),Systems Analysis and Design (Lab),14:30-16:00,TTh,NB-102 (Lab),0,1,1,3,2.25,TBA,IT-3B
IT 117,Systems Administration and Maintenance,16:00-17:00,TTh,AB-102 (Non-lab),2,1,3,5,4.25,TBA,IT-3B
IT 117 (Lab),Systems Administration and Maintenance (Lab),08:00-09:30,TTh,NB-103 (Lab),0,1,1,3,2.25,TBA,IT-3B
IT 118,Internet of Things,14:30-16:00,TTh,OB-L2 (Non-lab),3,0,3,3,3.0,TBA,IT-3B
IT 119,Data Scalability and Analytics,13:00-14:30,TTh,NB-302 (Non-lab),3,0,3,3,3.0,TBA,IT-3B
GEC 9,Ang Buhay at mga Akda ni Rizal,09:30-11:00,TTh,AB-201 (Non-lab),3,0,3,3,3.0,TBA,IT-3C
IT 114,Quantitative Methods (Modeling and Simulation),14:30-16:00,TTh,AB-102 (Non-lab),2,1,3,5,4.25,TBA,IT-3C
IT 114 (Lab),Quantitative Methods (Modeling and Simulation) (Lab),13:00-14:30,TTh,NB-201 (Lab),0,1,1,3,2.25,TBA,IT-3C
IT 115,Networking 1,11:00-12:00,TTh,AB-201 (Non-lab),2,1,3,5,4.25,TBA,IT-3C
IT 115 (Lab),Networking 1 (Lab),08:00-09:30,TTh,NB-203 (Lab),0,1,1,3,2.25,TBA,IT-3C
IT 116,Systems Analysis and Design,16:00-17:00,TTh,AB-201 (Non-lab),2,1,3,5,4.25,TBA,IT-3C
IT 116 (Lab),Systems Analysis and Design (Lab),14:30-16:00,TTh,NB-101 (Lab),0,1,1,3,2.25,TBA,IT-3C
IT 117,Systems Administration and Maintenance,16:00-17:00,TTh,NB-303 (Non-lab),2,1,3,5,4.25,TBA,IT-3C
IT 117 (Lab),Systems Administration and Maintenance (Lab),08:00-09:30,TTh,NB-201 (Lab),0,1,1,3,2.25,TBA,IT-3C
IT 118,Internet of Things,13:00-14:30,TTh,LIB-CL (Non-lab),3,0,3,3,3.0,TBA,IT-3C
IT 119,Data Scalability and Analytics,09:30-11:00,TTh,OB-L3 (Non-lab),3,0,3,3,3.0,TBA,IT-3C
IT 124,Social and Professional Issues in Computing,08:00-09:30,TTh,EB-L1 (Non-lab),3,0,3,3,3.0,TBA,IT-4A
IT 125,Capstone Project and Research 2,11:00-12:00,TTh,OB-L3 (Non-lab),2,1,3,5,4.25,TBA,IT-4A
IT 125 (Lab),Capstone Project and Research 2 (Lab),09:30-11:00,TTh,NB-202 (Lab),0,1,1,3,2.25,TBA,IT-4A
IT 126,Cyber Security Principle,14:30-16:00,TTh,NB-301 (Non-lab),3,0,3,3,3.0,TBA,IT-4A
IT 127,Global Professional Practice,14:30-16:00,TTh,OB-L2 (Non-lab),3,0,3,3,3.0,TBA,IT-4A
ITELECT 003,IT Elective 3*,16:00-17:00,TTh,NB-301 (Non-lab),2,1,3,5,4.25,TBA,IT-4A
ITELECT 003 (Lab),IT Elective 3* (Lab),09:30-11:00,TTh,NB-201 (Lab),0,1,1,3,2.25,TBA,IT-4A
ITELECT 004,IT Elective 4*,08:00-09:30,TTh,LIB-CL (Non-lab),3,0,3,3,3.0,TBA,IT-4A
IT 124,Social and Professional Issues in Computing,13:00-14:30,TTh,NB-302 (Non-lab),3,0,3,3,3.0,TBA,IT-4B
IT 125,Capstone Project and Research 2,10:00-11:00,TTh,AB-102 (Non-lab),2,1,3,5,4.25,TBA,IT-4B
IT 125 (Lab),Capstone Project and Research 2 (Lab),14:30-16:00,TTh,NB-202 (Lab),0,1,1,3,2.25,TBA,IT-4B
IT 126,Cyber Security Principle,08:00-09:30,TTh,NB-301 (Non-lab),3,0,3,3,3.0,TBA,IT-4B
IT 127,Global Professional Practice,14:30-16:00,TTh,AB-201 (Non-lab),3,0,3,3,3.0,TBA,IT-4B
ITELECT 003,IT Elective 3*,11:00-12:00,TTh,OB-L2 (Non-lab),2,1,3,5,4.25,TBA,IT-4B
ITELECT 003 (Lab),IT Elective 3* (Lab),08:00-09:30,TTh,NB-102 (Lab),0,1,1,3,2.25,TBA,IT-4B
ITELECT 004,IT Elective 4*,13:00-14:30,TTh,EB-L1 (Non-lab),3,0,3,3,3.0,TBA,IT-4B
