Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
GE Elec 2,Etika,16:00-17:00,MWF,AB-101 (Non-lab),3,0,3,3,3.0,TBA,IT-2B
GE Elec 3,The Entrepreneurial Mind,08:00-09:30,TTh,OB-L3 (Non-lab),3,0,3,3,3.0,TBA,IT-2B
GEC 6,"Science, Technology and Society",09:30-11:00,TTh,OB-L2 (Non-lab),3,0,3,3,3.0,TBA,IT-2B
IT 105,Applications Development and Emerging Technologies,11:00-12:00,TTh,AB-101 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
IT 105 (Lab),Applications Development and Emerging Technologies (Lab),14:30-16:00,TTh,NB-101 (Lab),0,1,1,3,2.25,TBA,IT-2B
IT 106,Information Management,14:30-16:00,TTh,EB-L1 (Non-lab),3,0,3,3,3.0,TBA,IT-2B
IT 107,Introduction to Human Computer Interaction,08:00-09:30,TTh,AB-101 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
IT 107 (Lab),Introduction to Human Computer Interaction (Lab),13:00-14:30,TTh,NB-203 (Lab),0,1,1,3,2.25,TBA,IT-2B
IT 108,Operating Systems,13:00-14:30,TTh,AB-201 (Non-lab),2,1,3,5,4.25,TBA,IT-2B
IT 108 (Lab),Operating Systems (Lab),09:30-11:00,TTh,NB-203 (Lab),0,1,1,3,2.25,TBA,IT-2B
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",08:00-10:00,W,OB-L1 (Non-lab),2,0,2,2,2.0,TBA,IT-2B
