Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 105,Applications Development and Emerging Technologies,08:00-09:00,TH,NB-103,2,1,3,5,4.25,TBA,IT-2A
IT 105,Applications Development and Emerging Technologies,08:00-09:00,T,NB-103,2,1,3,5,4.25,TBA,IT-2A
IT 106,Information Management,14:00-15:00,M,LIB-CL,3,0,3,3,3.0,TBA,IT-2A
IT 106,Information Management,14:00-15:00,W,LIB-CL,3,0,3,3,3.0,TBA,IT-2A
IT 106,Information Management,14:00-15:00,F,LIB-CL,3,0,3,3,3.0,TBA,IT-2A
IT 107,Introduction to Human Computer Interaction,15:00-17:00,M,NB-203,2,1,3,5,4.25,TBA,IT-2A
IT 108,Operating Systems,09:30-11:00,W,NB-103,2,1,3,5,4.25,TBA,IT-2A
IT 108,Operating Systems,09:30-11:00,T,NB-103,2,1,3,5,4.25,TBA,IT-2A
GEC 6,"Science, Technology and Society",08:00-09:30,F,NB-303,3,0,3,3,3.0,TBA,IT-2A
GEC 6,"Science, Technology and Society",08:00-09:30,M,NB-303,3,0,3,3,3.0,TBA,IT-2A
GE Elec 2,Etika,11:00-12:00,W,NB-302,3,0,3,3,3.0,TBA,IT-2A
GE Elec 2,Etika,11:00-12:00,F,NB-302,3,0,3,3,3.0,TBA,IT-2A
GE Elec 2,Etika,11:00-12:00,M,NB-302,3,0,3,3,3.0,TBA,IT-2A
GE Elec 3,The Entrepreneurial Mind,13:00-14:00,F,NB-301,3,0,3,3,3.0,TBA,IT-2A
GE Elec 3,The Entrepreneurial Mind,13:00-14:00,M,NB-301,3,0,3,3,3.0,TBA,IT-2A
GE Elec 3,The Entrepreneurial Mind,13:00-14:00,W,NB-301,3,0,3,3,3.0,TBA,IT-2A
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",09:00-11:00,TH,AB-101,2,0,2,2,2.0,TBA,IT-2A
