Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IS 100,Fundamentals of Information Systems,08:00-09:30,T,NB-101,2,1,3,5,4.25,TBA,IS-1B
IS 100,Fundamentals of Information Systems,08:00-09:30,W,NB-101,2,1,3,5,4.25,TBA,IS-1B
IS 101,Business Process Management,14:30-16:00,M,AB-101,3,0,3,3,3.0,TBA,IS-1B
IS 101,Business Process Management,14:30-16:00,F,AB-101,3,0,3,3,3.0,TBA,IS-1B
GEC 1,Understanding the Self,13:00-14:30,F,AB-101,3,0,3,3,3.0,TBA,IS-1B
GEC 1,Understanding the Self,13:00-14:30,W,AB-101,3,0,3,3,3.0,TBA,IS-1B
GEC 2,Readings in Philippine History,13:00-14:30,T,AB-101,3,0,3,3,3.0,TBA,IS-1B
GEC 2,Readings in Philippine History,13:00-14:30,TH,AB-101,3,0,3,3,3.0,TBA,IS-1B
GEC 3,Mathematics in the Modern World,09:30-11:00,T,LIB-CL,3,0,3,3,3.0,TBA,IS-1B
GEC 3,Mathematics in the Modern World,09:30-11:00,TH,LIB-CL,3,0,3,3,3.0,TBA,IS-1B
PathFit 1,Movement of Competency Training,08:00-10:00,M,NB-302,2,0,2,2,2.0,TBA,IS-1B
