Course Code,Course Title,Time,Days,Room,Lec,Lab,Credit Units,Units,Instructor/Professor
IT114,Quantitative Methods,7:00 - 8:30,MTH,NB-303,2,1,3,2.75,TBA
IT115,Networking 1,7:00 - 8:30,TW,NB-101,2,1,3,2.75,TBA
IT116,Systems Analysis and Design,8:30 - 10:00,MT,NB-303,2,1,3,2.75,TBA
IT117,Systems Admin and Maintenance,7:00 - 8:30,MTTH,NB-201,2,1,3,2.75,TBA
IT120,Networking 2,10:00 - 11:30,MWTH,NB-101,2,1,3,2.75,TBA
IT121,Capstone Project and Research 1,1:00 - 2:30,TWTH,NB-303,2,1,3,2.75,TBA
ITELEC001,IT Elective 1,11:30 - 1:00,MT,NB-303,2,1,3,2.75,TBA
