Course Code,Course Title,Time,Days,Room,Lec,Lab,Credit Units,Units,Instructor/Professor
IT105,Applications Development,2:30 - 4:00,WTHF,NB-103,2,1,3,2.75,TBA
IT106,Information Management,5:30 - 7:00,TTH,NB-303,2,1,3,2.75,TBA
IT107,Intro to HCI,1:00 - 2:30,TW,NB-301,2,1,3,2.75,TBA
IT109,Fundamentals of Database Systems,8:30 - 10:00,MT,NB-102,2,1,3,2.75,TBA
IT110,Computer Architecture and Robotics,8:30 - 10:00,MT,NB-201,2,1,3,2.75,TBA
IT111,Integrating Technologies 1,10:00 - 11:30,TWTH,NB-301,2,1,3,2.75,TBA
IT112,Mobile Applications,10:00 - 11:30,TS,NB-203,2,1,3,2.75,TBA
