Course Code,Course Title,Time,Days,Room,Lec,Lab,Credit Units,Units,Instructor/Professor
IT105,Applications Development,10:00 - 11:30,TF,NB-103,2,1,3,2.75,TBA
IT106,Information Management,10:00 - 11:30,WS,NB-303,2,1,3,2.75,TBA
IT107,Intro to HCI,8:30 - 10:00,MT,NB-301,2,1,3,2.75,TBA
IT109,Fundamentals of Database Systems,7:00 - 8:30,MTF,NB-102,2,1,3,2.75,TBA
IT110,Computer Architecture and Robotics,8:30 - 10:00,T,NB-201,2,1,3,2.75,TBA
IT111,Integrating Technologies 1,7:00 - 8:30,MWS,NB-301,2,1,3,2.75,TBA
IT112,Mobile Applications,8:30 - 10:00,MTS,NB-203,2,1,3,2.75,TBA
