Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
GE Elec 3,The Entrepreneurial Mind,08:00-09:00,M,LIB-CL,3,0,3,3,,,IT-2B
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",08:00-10:00,T,AB-201,2,0,2,2,,,IT-2B
IT 105,Applications Development and Emerging Technologies,15:00-17:00,W,NB-203,2,0,2,2,,,IT-2C
IT 106,Information Management,16:00-17:00,F,EB-L1,3,0,3,3,,,IT-2C
IT 106,Information Management,10:00-11:00,W,NB-303,3,0,3,3,,,IT-2C
IT 106,Information Management,09:00-10:00,F,NB-301,3,0,3,3,,,IT-2C
IT 107,Introduction to Human Computer Interaction,10:00-12:00,TH,NB-103,2,0,2,2,,,IT-2C
IT 108,Operating Systems,14:00-16:00,M,NB-203,2,0,2,2,,,IT-2C
GEC 6,"Science, Technology and Society",10:00-11:00,M,NB-303,3,0,3,3,,,IT-2C
GEC 6,"Science, Technology and Society",10:00-11:00,F,AB-102,3,0,3,3,,,IT-2C
GEC 6,"Science, Technology and Society",08:00-09:00,W,EB-L1,3,0,3,3,,,IT-2C
GE Elec 2,Etika,13:00-14:00,F,AB-102,3,0,3,3,,,IT-2C
GE Elec 2,Etika,14:00-15:00,W,LIB-CL,3,0,3,3,,,IT-2C
GE Elec 2,Etika,08:00-09:00,M,AB-201,3,0,3,3,,,IT-2C
GE Elec 3,The Entrepreneurial Mind,14:00-15:00,F,LIB-CL,3,0,3,3,,,IT-2C
GE Elec 3,The Entrepreneurial Mind,11:00-12:00,M,AB-102,3,0,3,3,,,IT-2C
GE Elec 3,The Entrepreneurial Mind,15:00-16:00,F,LIB-CL,3,0,3,3,,,IT-2C
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",15:00-17:00,T,NB-303,2,0,2,2,,,IT-2C
IT 114,Quantitative Methods (Modeling and Simulation),09:00-11:00,T,OB-L1,2,0,2,2,,,IT-3A
IT 115,Networking 1,10:00-12:00,TH,NB-202,2,0,2,2,,,IT-3A
IT 116,Systems Analysis and Design,13:00-15:00,M,OB-L3,2,0,2,2,,,IT-3A
IT 117,Systems Administration and Maintenance,08:00-10:00,TH,OB-L3,2,0,2,2,,,IT-3A
