Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 114,Quantitative Methods (Modeling and Simulation),09:00-11:00,TH,LAB-006,2,1,3,5,4.25,TBA,IT-3A
IT 115,Networking 1,14:00-16:00,M,LAB-003,2,1,3,5,4.25,TBA,IT-3A
IT 116,Systems Analysis and Design,13:00-15:00,F,LAB-001,2,1,3,5,4.25,TBA,IT-3A
IT 117,Systems Administration and Maintenance,09:00-11:00,T,LAB-003,2,1,3,5,4.25,TBA,IT-3A
IT 118,Internet of Things,13:00-14:00,W,LEC-006,3,0,3,3,3.0,TBA,IT-3A
IT 118,Internet of Things,14:00-15:00,W,LEC-001,3,0,3,3,3.0,TBA,IT-3A
IT 118,Internet of Things,09:00-10:00,W,LEC-003,3,0,3,3,3.0,TBA,IT-3A
IT 119,Data Scalability and Analytics,08:00-09:00,M,LEC-003,3,0,3,3,3.0,TBA,IT-3A
IT 119,Data Scalability and Analytics,15:00-16:00,F,LEC-008,3,0,3,3,3.0,TBA,IT-3A
IT 119,Data Scalability and Analytics,09:00-10:00,F,LEC-011,3,0,3,3,3.0,TBA,IT-3A
GEC 9,Ang Buhay at mga Akda ni Rizal,08:00-09:00,F,LEC-006,3,0,3,3,3.0,TBA,IT-3A
GEC 9,Ang Buhay at mga Akda ni Rizal,13:00-14:00,M,LEC-002,3,0,3,3,3.0,TBA,IT-3A
GEC 9,Ang Buhay at mga Akda ni Rizal,08:00-09:00,W,LEC-002,3,0,3,3,3.0,TBA,IT-3A
