Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IS 301,Project Management and Quality Assurance,10:00-12:00,TH,LAB-003,2,1,3,5,4.25,TBA,IS-3A
IS 302,"IS Strategy, Management and Acquisition",09:00-10:00,F,LEC-010,3,0,3,3,3.0,TBA,IS-3A
IS 302,"IS Strategy, Management and Acquisition",08:00-09:00,W,LEC-006,3,0,3,3,3.0,TBA,IS-3A
IS 302,"IS Strategy, Management and Acquisition",10:00-11:00,W,LEC-007,3,0,3,3,3.0,TBA,IS-3A
IS 303,Enterprise Resource Planning Systems,13:00-15:00,T,LAB-004,2,1,3,5,4.25,TBA,IS-3A
GEC 9,Ang Buhay at mga Akda ni Rizal,09:00-10:00,W,LEC-008,3,0,3,3,3.0,TBA,IS-3A
GEC 9,Ang Buhay at mga Akda ni Rizal,10:00-11:00,M,LEC-005,3,0,3,3,3.0,TBA,IS-3A
GEC 9,Ang Buhay at mga Akda ni Rizal,11:00-12:00,F,LEC-005,3,0,3,3,3.0,TBA,IS-3A
ISELECT 001,IS Elective 1 (Analytics),10:00-12:00,T,LAB-004,2,1,3,5,4.25,TBA,IS-3A
