Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 114,Quantitative Methods (Modeling and Simulation),09:00-11:00,W,LAB-001,2,1,3,5,4.25,TBA,IT-3B
IT 115,Networking 1,15:00-17:00,T,LAB-004,2,1,3,5,4.25,TBA,IT-3B
IT 116,Systems Analysis and Design,10:00-12:00,T,LAB-005,2,1,3,5,4.25,TBA,IT-3B
IT 117,Systems Administration and Maintenance,14:00-16:00,W,LAB-002,2,1,3,5,4.25,TBA,IT-3B
IT 118,Internet of Things,10:00-11:00,F,LEC-011,3,0,3,3,3.0,TBA,IT-3B
IT 118,Internet of Things,14:00-15:00,F,LEC-008,3,0,3,3,3.0,TBA,IT-3B
IT 118,Internet of Things,11:00-12:00,W,LEC-002,3,0,3,3,3.0,TBA,IT-3B
IT 119,Data Scalability and Analytics,08:00-09:00,W,LEC-001,3,0,3,3,3.0,TBA,IT-3B
IT 119,Data Scalability and Analytics,15:00-16:00,F,LEC-001,3,0,3,3,3.0,TBA,IT-3B
IT 119,Data Scalability and Analytics,16:00-17:00,F,LEC-010,3,0,3,3,3.0,TBA,IT-3B
GEC 9,Ang Buhay at mga Akda ni Rizal,11:00-12:00,F,LEC-008,3,0,3,3,3.0,TBA,IT-3B
GEC 9,Ang Buhay at mga Akda ni Rizal,13:00-14:00,F,LEC-003,3,0,3,3,3.0,TBA,IT-3B
GEC 9,Ang Buhay at mga Akda ni Rizal,11:00-12:00,M,LEC-001,3,0,3,3,3.0,TBA,IT-3B
