Course Code,Course Title,Time,Days,Room,Lec,Lab,Units,No. of Hours,ETL Units,Instructor/Professor,Program-Year-Block
IT 105,Applications Development and Emerging Technologies,09:00-11:00,W,LAB-006,2,1,3,5,4.25,TBA,IT-2C
IT 106,Information Management,08:00-09:00,W,LEC-004,3,0,3,3,3.0,TBA,IT-2C
IT 106,Information Management,09:00-10:00,M,LEC-009,3,0,3,3,3.0,TBA,IT-2C
IT 106,Information Management,08:00-09:00,F,LEC-003,3,0,3,3,3.0,TBA,IT-2C
IT 107,Introduction to Human Computer Interaction,08:00-10:00,T,LAB-004,2,1,3,5,4.25,TBA,IT-2C
IT 108,Operating Systems,10:00-12:00,M,LAB-004,2,1,3,5,4.25,TBA,IT-2C
GEC 6,"Science, Technology and Society",15:00-16:00,M,LEC-005,3,0,3,3,3.0,TBA,IT-2C
GEC 6,"Science, Technology and Society",08:00-09:00,M,LEC-009,3,0,3,3,3.0,TBA,IT-2C
GEC 6,"Science, Technology and Society",13:00-14:00,M,LEC-003,3,0,3,3,3.0,TBA,IT-2C
GE Elec 2,Etika,13:00-14:00,F,LEC-008,3,0,3,3,3.0,TBA,IT-2C
GE Elec 2,Etika,11:00-12:00,W,LEC-005,3,0,3,3,3.0,TBA,IT-2C
GE Elec 2,Etika,15:00-16:00,F,LEC-006,3,0,3,3,3.0,TBA,IT-2C
GE Elec 3,The Entrepreneurial Mind,16:00-17:00,F,LEC-003,3,0,3,3,3.0,TBA,IT-2C
GE Elec 3,The Entrepreneurial Mind,14:00-15:00,F,LEC-003,3,0,3,3,3.0,TBA,IT-2C
GE Elec 3,The Entrepreneurial Mind,15:00-16:00,W,LEC-008,3,0,3,3,3.0,TBA,IT-2C
PathFit 3,"Dance, Sports, Martial Arts, Group Exercise, Outdoor and Adventure Activities",13:00-15:00,T,LEC-001,2,0,2,2,2.0,TBA,IT-2C
